id,name,host_since,host_location,host_is_superhost,host_identity_verified,property_type,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
761411,Condo in Amsterdam,2012-10-30,"Amsterdam, Netherlands",t,t,Private room in condo,61.0,4.74,4.81,4.89,4.82,4.92,4.42,4.65
768274,Rental unit in Amsterdam,2012-09-26,"Amsterdam, Netherlands",f,t,Entire rental unit,327.0,4.83,4.94,4.91,4.94,4.94,4.86,4.77
768737,Boat in Amsterdam,2012-10-15,"Amsterdam, Netherlands",t,t,Private room in boat,109.0,4.82,4.81,4.84,4.87,4.87,4.72,4.68
771217,Houseboat in Amsterdam,2012-11-05,"Amsterdam, Netherlands",f,t,Houseboat,290.0,5.0,5.0,5.0,5.0,5.0,4.67,4.56
771343,Rental unit in Amsterdam,2012-05-07,"Amsterdam, Netherlands",t,t,Private room in rental unit,150.0,4.89,4.88,4.9,4.93,4.91,4.96,4.79
771758,Bed and breakfast in Amsterdam,2010-08-09,"Amsterdam, Netherlands",t,t,Private room in bed and breakfast,75.0,4.6,4.63,4.91,4.78,4.83,4.4,4.43
775655,Rental unit in Amsterdam,2012-11-08,"Amsterdam, Netherlands",f,t,Private room in rental unit,159.0,4.6,4.5,4.6,4.74,4.78,4.93,4.49
1086763,Bed and breakfast in Amsterdam,2012-10-17,"Amsterdam, Netherlands",f,t,Private room in bed and breakfast,221.0,4.78,4.83,4.76,4.88,4.73,4.93,4.59
2818,Condo in Amsterdam,2008-09-24,"Amsterdam, Netherlands",t,t,Private room in condo,69.0,4.9,4.93,4.99,4.97,4.98,4.7,4.81
20168,Townhouse in Amsterdam,2009-12-02,"Amsterdam, Netherlands",f,t,Private room in townhouse,146.0,4.44,4.7,4.79,4.63,4.62,4.87,4.48
27886,Houseboat in Amsterdam,2010-03-23,"Amsterdam, Netherlands",t,t,Private room in houseboat,155.0,4.93,4.91,4.94,4.95,4.92,4.89,4.78
28871,Rental unit in Amsterdam,2010-05-13,"Amsterdam, Netherlands",t,t,Private room in rental unit,79.0,4.87,4.9,4.87,4.95,4.94,4.96,4.83
29051,Rental unit in Amsterdam,2010-05-13,"Amsterdam, Netherlands",t,t,Private room in rental unit,57.0,4.81,4.88,4.84,4.92,4.92,4.88,4.79
44391,Rental unit in Amsterdam,2010-08-08,"Amsterdam, Netherlands",f,t,Entire rental unit,240.0,4.72,4.68,4.45,4.95,4.9,4.68,4.5
48373,Rental unit in Amsterdam,2010-09-01,"Amsterdam, Netherlands",f,t,Entire rental unit,269.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
